2023-05-30 17:00:57.980[1685444457980] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.980[1685444457980] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.981[1685444457981] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.981[1685444457981] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.981[1685444457981] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.981[1685444457981] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.981[1685444457981] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.982[1685444457982] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.982[1685444457982] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.982[1685444457982] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.982[1685444457982] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.983[1685444457983] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.983[1685444457983] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.983[1685444457983] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.983[1685444457983] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.984[1685444457984] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.984[1685444457984] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.984[1685444457984] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.984[1685444457984] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.985[1685444457985] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.985[1685444457985] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.986[1685444457986] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.986[1685444457986] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.986[1685444457986] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.986[1685444457986] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.988[1685444457988] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.988[1685444457988] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.988[1685444457988] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
2023-05-30 17:00:57.988[1685444457988] | ERROR | Thread-6   | c.a.s.BinanceUMFuturesServiceWrapper - FullErrMessage: "symbol" is a mandatory parameter!
